,eigenenergy,occurrences,bitstring,coefficient_vectors,chain_break,vector_lengths_sq
0,-2.3170731707317085,1,-111-11-1-11-1-11-1-111111-1-1-1-111,"0,0,0",0.0,0
1,-2.317073170731708,1,1-111-1-11-1-1-11-111-11-1-11111-1-1,"0,0,0",0.0,0
2,-2.317073170731708,1,1-111-11-1-1111-1-1-11-1111-1-11-1-1,"0,0,0",0.0,0
3,-2.317073170731708,1,1-1-1-1111-11-1-1-11-1111-11-1-111-1,"0,0,0",0.0,0
4,-2.317073170731708,1,-1-1-1111-11-11-1-111-11-1111-1-1-11,"0,0,0",0.0,0
5,-2.317073170731708,1,-1-1-1111-11-1-1111-1-11-11-111-11-1,"0,0,0",0.0,0
6,-2.317073170731708,1,-11-111-11-1-1-1111-1-11111-11-1-1-1,"0,0,0",0.0,0
7,-2.317073170731708,1,1-11-1-1-11111-11-1-1-11-11-111-1-11,"0,0,0",0.0,0
8,-2.256097560975611,1,1-1-1-1-1-111111-1-1-1-111111-1-1-11,"-1,0,1",0.0,5
9,-2.256097560975611,1,-1-1-1-1111-1-11-11-111-111-11-111-1,"-1,0,1",0.0,5
10,-2.256097560975611,1,-1-11-11-11-1-111-1-1-111-1111-111-1,"-1,0,1",0.0,5
11,-2.256097560975611,1,-1-111-1-11-1-111-111-1-11111-11-1-1,"-1,0,1",0.0,5
12,-2.256097560975611,1,-1-111-1-1-11-11-1111-1-1-1-111111-1,"-1,0,1",0.0,5
13,-2.2560975609756104,1,-1-1-11-111-11-1-11-11-111-1-11-1111,"-1,0,1",0.0,5
14,-2.2560975609756104,1,-1-11-111-1-111-1-111-1-11-111-111-1,"-1,0,1",0.0,5
15,-2.2560975609756104,1,-1-1-1111-1-1-11111-1-1-11-1-1111-11,"-1,0,1",0.0,5
16,-2.2560975609756104,1,1-11-1-1-11-1-1-111-1-111-11111-1-11,"-1,0,1",0.0,5
17,-2.2560975609756104,1,111-1-1-1-1-1-1-11-11-111-11-111-111,"-1,0,1",0.0,5
18,-2.2560975609756104,1,-11-11-11-1-111-1-11-11-1-11-1-11111,"-1,0,1",0.0,5
19,-2.2560975609756104,1,-111-11-1-1-11-11-1-11-111-111-111-1,"-1,0,1",0.0,5
20,-2.2560975609756104,1,1-11-1-11-1-111-11-11-1-11-111-111-1,"-1,0,1",0.0,5
21,-2.109756097560976,1,-1-11-1-111-1-1-111-111111111-1-1-1,"-1,1,1",0.0,17
22,-2.109756097560976,1,-11-11-1111-1-1111-1-1-11-1-111-1-11,"1,-1,0",0.0,17
23,-2.109756097560976,1,1-1-1-1-11-11-111-111-11-1-1-111-111,"-1,1,0",0.0,17
24,-2.109756097560976,1,-1-1-1-1-11111-11-1-111111-1-1-11-11,"-1,1,0",0.0,17
25,-2.1097560975609757,1,-1111-1-1-1-11-1-11-11111-11-1-111-1,"-1,1,0",0.0,17
26,-2.1097560975609757,1,111-11-1-111-1-11-11-1-1-1-11-11-11-1,"1,-1,-1",0.0,17
27,-2.1097560975609757,1,-11-1-1-11-1111-1-111-111-11-1-111-1,"-1,1,0",0.0,17
28,-2.1097560975609757,1,11-1-1111-11-1-1-1-1-1111-111-1-11-1,"1,-1,0",0.0,17
29,-2.1097560975609757,1,-1111-111-1-1-111-1-11-1111-1-1-11-1,"1,-1,0",0.0,17
30,-2.1097560975609757,1,-1-1-1-1111-1-111-111-111-1-11-11-11,"-1,1,0",0.0,17
31,-2.1097560975609757,1,-11-1-11-11-111-1-111-11-1111-1-11-1,"-1,1,0",0.0,17
32,-2.1097560975609753,1,111-1-1-1-1-11-111-1-11111-111-1-11,"-1,1,1",0.0,17
33,-2.1097560975609753,1,-1-11-11-1-111-111-1-111-111-1111-1,"-1,1,1",0.0,17
34,-2.1097560975609753,1,-111-11-1-1-11-11-1-11111-11-1111-1,"-1,1,1",0.0,17
35,-2.1097560975609753,1,1-11-1-1-1-111-1111-1-111-11-1111-1,"-1,1,1",0.0,17
36,-2.1097560975609753,1,-111-11-1-1-111-111-1-111-111-111-1,"-1,1,1",0.0,17
37,-2.097560975609757,1,-11111-1-1-1-1-1111-1111-1-1-1-1-111,"0,1,-1",0.0,18
38,-2.0975609756097566,1,-11111-1-1-11111-11-1-1-111-1-111-1,"0,1,0",0.0,18
39,-2.0975609756097566,1,-1-111-1-11111-11-1-1-1-111-1-11-1-11,"0,-1,0",0.0,18
40,-2.0975609756097566,1,-1-11-1-11111-11111-1-1-1111-1-1-11,"0,1,0",0.0,18
41,-2.0975609756097566,1,1-111-1-11-111-1-11-1-1-11-1-11111-1,"0,-1,1",0.0,18
42,-2.0975609756097566,1,-11-111-1-11-1-11-11-11-111-111-11-1,"0,-1,1",0.0,18
43,-2.0975609756097566,1,-11111-1-1-11111-11-1-1111-1-11-1-1,"0,1,0",0.0,18
44,-2.0975609756097566,1,1-11-111-1-1-1111-1-1-1-11-1-1-1111-1,"0,-1,0",0.0,18
45,-2.0975609756097566,1,-11-111-1-11-1-1111-1-1-1-11-111-11-1,"0,-1,0",0.0,18
46,-2.0975609756097566,1,11-1-111-1-1-111-1-11-1-1-1-111-1111,"0,-1,1",0.0,18
47,-2.0975609756097566,1,-1111-11-1-1111-111-1-11-1-11-1-11-1,"0,1,-1",0.0,18
48,-2.0975609756097566,1,-111-111-1-1-11-11-11-1-11-1-1-1-1111,"0,-1,0",0.0,18
49,-2.097560975609756,1,-1-111-111-11-11-1-1-11-111-11-1-11-1,"0,-1,0",0.0,18
50,-2.097560975609756,1,-1-1-1-11111-11-1-1-11-1111-1-111-11,"0,-1,1",0.0,18
51,-2.097560975609756,1,-1-111-11-11-11-11-1-1-11-11-111-1-11,"0,-1,0",0.0,18
52,-2.097560975609756,1,1-111-1-11-1-11111-1-11-1-1-1111-1-1,"0,1,-1",0.0,18
53,-2.097560975609756,1,-111-1-11-111-1-11-1-1-111-11-1-111-1,"0,-1,0",0.0,18
54,-2.073170731707317,1,1-1111-1111-1-111-1-11-11-11-1-1-1-1,"2,0,-2",0.0,20
55,-2.0731707317073167,1,-1-1-11-11-1-11-1-1111-1-11111-11-11,"-2,0,2",0.0,20
56,-2.0731707317073162,1,-11-1-11-1-1-111-11-1-11-11-1-111111,"-2,0,2",0.0,20
57,-2.0731707317073162,1,-1-1-1-1-11-11-11111-1-1-11-11111-11,"-2,0,2",0.0,20
58,-2.0,1,-1-1-11-1-1-111-11-1-111111-111-1-11,"-2,1,1",0.0,26
59,-2.0,1,-1-11-1-11-1-1111-1-1-111-11-11-1111,"-2,1,1",0.0,26
60,-1.999999999999999,1,111-1111-11-111-1-1-1-11-1-11-1-1-1-1,"2,-1,-2",0.0,26
61,-1.963414634146342,1,-1-11-1-111-1-1-111-11-1-111-1-1111-1,"-1,-1,1",0.0,29
62,-1.9634146341463419,1,-1-1-1-111-11-11-1-1-1-11111-11-111-1,"-1,-1,1",0.0,29
63,-1.9634146341463417,1,1-11-1-11-1-1-1-1111-1-1-111111-11-1,"-1,-1,2",0.0,29
64,-1.9634146341463417,1,-111-11-1-1-1-1-11-1-11-11-1111-111-1,"-1,-1,1",0.0,29
65,-1.9634146341463417,1,-11-11-11-1-1-1-11-1-11-111111-1-1-11,"-1,-1,1",0.0,29
66,-1.9634146341463417,1,11-1-111-11111-111-1-11-1-11-1-1-1-1,"1,1,-2",0.0,29
67,-1.963414634146341,1,1-111-111-1-1-11-1-11-1-11-1-111-11-1,"1,-2,0",0.0,29
68,-1.963414634146341,1,-1-11-111-1-11-1111-111-11-1-111-11,"-1,2,0",0.0,29
69,-1.926829268292682,1,-11-1-1-11-1-11111-11-11111-1-111-1,"-2,2,1",0.0,32
70,-1.8780487804878059,1,1-11-111-1-11-111-1-11-111-1-1-1-1-11,"0,0,-1",0.0,36
71,-1.8780487804878054,1,1-11-1-1-1111-111-1-11-111111-1-1-1,"0,0,1",0.0,36
72,-1.8780487804878054,1,-1-111-111-1-1-11-11-111-1-11-11111,"0,0,1",0.0,36
73,-1.8780487804878052,1,11-1-11-11-111-1-1-111-1111-1-111-1,"0,0,1",0.0,36
74,-1.8780487804878048,1,11-1-111-1-11111-11-11-11-1-1-111-1,"0,2,-1",0.0,36
75,-1.8170731707317078,1,1-11-1-11-1-1-1-111-11-11-11-111111,"-1,0,2",0.0,41
76,-1.8170731707317078,1,11-1-11-1-1-1111-1-1-1-1111-11111-1,"-1,0,2",0.0,41
77,-1.8170731707317074,1,-1-11-111-1-111-11-1-1-11-1111-11-1-1,"-1,0,0",0.0,41
78,-1.8170731707317074,1,1-1-1-1-1-111-11-1-111-111-111-1-11-1,"-1,0,0",0.0,41
79,-1.8170731707317074,1,-1-1-11-11-11-1-11-11-1111-1-111-11-1,"-1,0,0",0.0,41
80,-1.7073170731707275,1,-1-1-1-1-111-111-1-11-1-1-11111111-1,"-2,-1,3",0.0,50
81,-1.524390243902439,1,-111-1-11-1-1-111-11111-111-1-11-1-1,"-1,2,-1",0.0,65
82,-1.5243902439024386,1,11-1-111-11-11-1-1-11-1-1-1-11-11-1-11,"1,-2,-1",0.0,65
83,-1.4878048780487807,1,-1-11-1-1-11-11-111111-11-1111-1-1-1,"-2,2,0",0.0,68
84,-1.341463414634144,1,-1-1-1-111-1-1-1-1-1-1-1-111-11111111,"-2,-2,3",0.0,80
85,-1.2195121951219512,1,1-11-11-11-1-11-1111-11111-111-1-1,"0,1,1",0.0,90
86,-1.2195121951219512,1,-111-111-1-1111-1-1-1111-1-11111-1,"0,1,1",0.0,90
87,-1.121951219512195,1,-11-1-1-1-1-11111-1-1-11111-1-1-1-111,"-2,1,0",0.0,98
88,-0.8902439024390244,1,-1-1-1-1-11-1-1111111111-1111-11-1,"-3,4,1",0.0,117
89,-0.8292682926829269,1,-1-1-111-1-1-11-1-11-1-11-11-1-1111-11,"-2,-1,1",0.0,122
